Date,FAO_CP_23012,FAO_CP_23013,FAO_CP_23014,REF_AREA,REF_AREA_LABEL
2005-07-01,93.864757,98.886622,1.735277,ZWE,Zimbabwe
2005-08-01,49.32857,44.825969,6.372549,BWA,Botswana
2005-08-01,36.898489,35.580964,9.189838,KEN,Kenya
2005-08-01,55.672884,45.197958,1.163317,NAM,Namibia
2005-08-01,57.3324,48.703481,2.402655,ZAF,South Africa
2005-08-01,93.93579,99.027179,1.732772,ZWE,Zimbabwe
2005-09-01,49.768513,45.342397,7.334963,BWA,Botswana
2005-09-01,36.728544,35.359454,5.682105,KEN,Kenya
2005-09-01,56.023221,45.710652,2.5788,NAM,Namibia
2005-09-01,57.380624,48.874237,2.690767,ZAF,South Africa
2005-09-01,94.006823,99.167737,1.730273,ZWE,Zimbabwe
2005-10-01,50.648398,45.755539,8.04878,BWA,Botswana
2005-10-01,36.820683,35.316329,4.950735,KEN,Kenya
2005-10-01,56.163602,46.051111,2.338098,NAM,Namibia
2005-10-01,57.449523,48.959608,2.179266,ZAF,South Africa
2005-10-01,94.077856,99.308294,1.727782,ZWE,Zimbabwe
2005-11-01,50.813377,46.168682,8.759124,BWA,Botswana
2005-11-01,37.256806,35.567412,6.188752,KEN,Kenya
2005-11-01,56.294251,46.397385,4.076701,NAM,Namibia
2005-11-01,57.43575,49.274842,1.942944,ZAF,South Africa
2005-11-01,94.14889,99.448852,1.725298,ZWE,Zimbabwe
2005-12-01,50.978355,46.271968,8.737864,BWA,Botswana
2005-12-01,37.91611,36.026684,6.549924,KEN,Kenya
2005-12-01,56.353537,46.586586,4.568877,NAM,Namibia
2005-12-01,57.490844,49.852768,3.447806,ZAF,South Africa
2005-12-01,94.219923,99.589409,1.722821,ZWE,Zimbabwe
2006-01-01,51.858241,47.201538,10.653753,BWA,Botswana
2006-01-01,41.206486,37.435699,10.918882,KEN,Kenya
2006-01-01,57.042935,46.77705,4.772894,NAM,Namibia
2006-01-01,57.711301,50.305914,3.569493,ZAF,South Africa
2006-01-01,94.290956,99.729966,1.720351,ZWE,Zimbabwe
2006-02-01,52.24319,47.717967,12.135922,BWA,Botswana
2006-02-01,42.860888,37.419825,11.926192,KEN,Kenya
2006-02-01,56.792399,46.633282,4.443691,NAM,Namibia
2006-02-01,57.787088,50.43726,3.797815,ZAF,South Africa
2006-02-01,94.36199,99.870524,1.717888,ZWE,Zimbabwe
2006-03-01,52.683133,48.440966,13.834951,BWA,Botswana
2006-03-01,43.57138,37.698327,11.067721,KEN,Kenya
2006-03-01,57.035339,47.162753,5.590997,NAM,Namibia
2006-03-01,57.959321,50.653992,4.384887,ZAF,South Africa
2006-03-01,94.433023,100.011081,1.715432,ZWE,Zimbabwe
2006-04-01,53.288054,49.163966,14.423077,BWA,Botswana
2006-04-01,43.139352,37.446207,6.591961,KEN,Kenya
2006-04-01,57.102729,47.229061,4.907879,NAM,Namibia
2006-04-01,58.097104,50.851011,4.734209,ZAF,South Africa
2006-04-01,94.504056,100.151638,1.712984,ZWE,Zimbabwe
2006-05-01,53.78299,49.78368,16.144578,BWA,Botswana
2006-05-01,42.715514,37.605212,5.313731,KEN,Kenya
2006-05-01,57.244404,47.537772,7.605041,NAM,Namibia
2006-05-01,58.317561,51.094006,5.320175,ZAF,South Africa
2006-05-01,94.57509,100.292196,1.710542,ZWE,Zimbabwe
2006-06-01,54.057954,49.886965,14.184397,BWA,Botswana
2006-06-01,41.452189,37.580021,5.401554,KEN,Kenya
2006-06-01,57.800162,47.780755,7.381686,NAM,Namibia
2006-06-01,58.744701,51.363264,6.39371,ZAF,South Africa
2006-06-01,94.646123,100.432753,1.708107,ZWE,Zimbabwe
2006-07-01,54.277925,50.093536,12.790698,BWA,Botswana
2006-07-01,40.852264,37.487768,5.379269,KEN,Kenya
2006-07-01,58.264864,47.752043,6.188866,NAM,Namibia
2006-07-01,59.151165,51.619391,6.115819,ZAF,South Africa
2006-07-01,94.717156,100.57331,1.705679,ZWE,Zimbabwe
2006-08-01,54.607882,50.609965,12.903226,BWA,Botswana
